datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_peak2trough_potential,mean_slope_to_trough_min_potential_per_second,mean_slope_zerocrossing_to_trough_potential_per_second,mean_slope_trough_to_up_max_potential_per_second,mean_slope_trough_to_zerocrossing_potential_per_second,mean_frequency_by_duration,mean_frequency_by_trough_to_peak_latency,epoch_length_seconds,lengths_ROI_seconds,used_meanNegPeak_potential,used_meanP2T_potential,mean_SD_of_filtered_signal,mean_negative_peak_potential,mean_positive_peak_potential
28,C4-TP9,1084,1.821849,1.295996,153.2716,-654.4456,-362.5886,649.5844,351.6595,0.771607,0.799634,30,17850,-46.76191,87.20007,46.32582,-86.46764,66.80396
29,C3-TP10,965,1.507813,1.29687,138.8372,-567.0755,-319.6531,555.8164,291.4941,0.771087,0.795063,30,19200,-43.539,81.39695,42.73096,-75.76384,63.07331
29,C4-TP9,964,1.50625,1.283112,155.5689,-682.161,-397.6831,618.6655,340.3492,0.779355,0.792594,30,19200,-48.61606,87.73287,47.7241,-90.45101,65.11787
30,C3-TP10,942,1.715847,1.314331,130.9576,-545.1682,-306.785,536.3118,279.9199,0.760843,0.794253,30,16470,-41.44544,76.92907,39.97353,-72.37223,58.58541
30,C4-TP9,974,1.774135,1.306612,146.5571,-661.8794,-385.7157,583.0012,318.6718,0.765338,0.783878,30,16470,-44.92624,81.90136,44.88975,-85.10813,61.44894
31,C3-TP10,1087,1.808652,1.407617,137.5746,-525.2157,-283.927,524.35,259.0478,0.71042,0.723952,30,18030,-42.54713,79.69235,42.33718,-74.59532,62.97933
31,C4-TP9,1021,1.698835,1.493643,150.3151,-554.0016,-292.9013,535.1329,265.2074,0.669504,0.686774,30,18030,-45.3062,85.02328,46.19879,-80.92989,69.3852
32,C3-TP10,763,1.348057,1.363919,135.9046,-576.5757,-316.761,584.9681,316.3166,0.733182,0.798669,30,16980,-39.96638,72.94421,40.82273,-76.93343,58.97112
32,C4-TP9,743,1.312721,1.418708,158.5447,-630.8877,-348.2026,619.8099,334.4359,0.704867,0.744101,30,16980,-45.84779,83.62062,47.8909,-89.4487,69.09602
33,C3-TP10,954,1.490625,1.277883,146.0452,-609.5616,-350.9742,628.5147,340.2363,0.782545,0.81473,30,19200,-43.4076,80.62412,44.51292,-82.26648,63.77874
33,C4-TP9,856,1.3375,1.24229,143.8544,-635.338,-365.4987,652.7825,363.1073,0.804965,0.868577,30,19200,-42.63234,78.09768,43.77603,-83.11331,60.74113
34,C3-TP10,401,0.930394,1.485736,120.9415,-391.5933,-216.3934,419.693,215.9913,0.673067,0.699484,30,12930,-38.89916,71.76391,38.05265,-65.38767,55.55386
34,C4-TP9,560,1.299304,1.398518,120.4768,-459.6983,-252.1452,435.8915,230.9979,0.715043,0.741643,30,12930,-38.69429,71.37911,37.27398,-65.9616,54.51525
35,C3-TP10,775,1.212833,1.218039,121.933,-577.8624,-328.3113,559.5437,306.0264,0.820992,0.858574,30,19170,-39.05836,71.20928,36.39166,-70.46569,51.46733
35,C4-TP9,905,1.416275,1.222608,145.0746,-689.2436,-404.4429,651.3431,360.4981,0.817924,0.864473,30,19170,-45.93075,82.87389,43.68071,-84.72685,60.34773
