datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_peak2trough_potential,mean_slope_to_trough_min_potential_per_second,mean_slope_zerocrossing_to_trough_potential_per_second,mean_slope_trough_to_up_max_potential_per_second,mean_slope_trough_to_zerocrossing_potential_per_second,mean_frequency_by_duration,mean_frequency_by_trough_to_peak_latency,epoch_length_seconds,lengths_ROI_seconds,used_meanNegPeak_potential,used_meanP2T_potential,mean_SD_of_filtered_signal,mean_negative_peak_potential,mean_positive_peak_potential
35,C3A2 EEG,881,1.71068,1.247696,139.267,-592.3372,-331.4252,618.0739,347.0121,0.801477,0.856704,30,15450,-43.73776,82.10937,41.567,-75.85965,63.40737
35,C4A1 EEG,872,1.693204,1.243544,132.1031,-556.1292,-309.306,578.2796,324.2444,0.804154,0.854265,30,15450,-41.71479,78.69624,39.74458,-71.63741,60.46564
36,C3A2 EEG,589,1.008562,1.179593,99.62899,-485.059,-291.2714,436.2297,247.3911,0.84775,0.839773,30,17520,-33.79491,61.37527,29.97852,-56.15545,43.47354
36,C4A1 EEG,680,1.164384,1.222647,112.1363,-514.737,-311.2091,468.2555,275.2772,0.817898,0.839962,30,17520,-36.88381,66.70227,33.85097,-63.57581,48.56052
37,C3A2 EEG,730,1.32969,1.180959,153.5716,-653.7199,-347.3272,754.3617,448.1785,0.84677,1.000247,30,16470,-48.14184,90.53695,45.64219,-83.41513,70.15652
37,C4A1 EEG,757,1.378871,1.166182,162.2733,-710.2238,-392.6522,796.2626,471.9952,0.857499,0.971908,30,16470,-50.44978,93.94313,48.46705,-88.97143,73.30186
38,C3A2 EEG,495,0.963035,1.213172,126.1784,-513.7593,-293.5511,560.1227,320.7437,0.824286,0.887383,30,15420,-36.84749,69.0725,38.02298,-68.62922,57.54922
38,C4A1 EEG,452,0.879377,1.220841,119.516,-488.2564,-263.4371,542.7671,292.5737,0.819108,0.881367,30,15420,-34.32861,65.38863,36.36169,-62.82158,56.6944
39,C3A2 EEG,734,1.16879,1.149373,133.3147,-597.5311,-335.4285,643.4259,377.0293,0.870039,0.971439,30,18840,-41.67088,77.24111,40.28403,-73.45613,59.85853
39,C4A1 EEG,792,1.261146,1.169394,137.1807,-608.7985,-339.3879,646.4052,370.0533,0.855144,0.929818,30,18840,-43.21856,80.05149,41.34833,-74.74095,62.4397
