datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_trough2peak_potential,mean_frequency_by_mean_pk_trgh_cnt_per_dur,epoch_length_seconds,merged_count,lengths_ROI_seconds,used_threshold_basis,used_factor_for_threshold_basis_begin_end,used_factor_for_threshold_basis_criterion,used_min_detection_pass_or_cutoff_freq,used_max_detection_pass_or_cutoff_freq,used_center_freq,mean_SD_of_filtered_signal,mean_troughs_per_event,mean_peaks_per_event,mean_linear_regression_freq_slope,mean_linear_regression_freq_offset,mean_linear_regression_freq_R_squared
27,C4A1 EEG,750,1.752336,0.749627,28.25176,13.400448,30,0,12840,3.66896,1.5,1.5,12.8,14.8,13.8,8.24019,10.065333,10.025333,-0.119244,13.787199,0.4333
28,C3A2 EEG,1053,2.048638,0.728139,32.08545,12.643955,30,0,15420,3.538205,1.5,1.5,12,14,13,9.065286,9.219373,9.193732,-0.090873,13.014031,0.486348
28,C4A1 EEG,1069,2.079767,0.726763,33.93132,12.603776,30,0,15420,3.67524,1.5,1.5,12,14,13,9.589198,9.148737,9.171188,-0.152141,13.001305,0.515882
29,C3A2 EEG,1139,2.005282,0.660817,29.02653,13.372394,30,0,17040,3.133829,1.5,1.5,12.8,14.8,13.8,8.230353,8.841089,8.832309,-0.117306,13.785364,0.509554
29,C4A1 EEG,1053,1.853873,0.68812,24.92213,13.308216,30,0,17040,2.78197,1.5,1.5,12.8,14.8,13.8,7.050801,9.150997,9.164292,-0.18181,13.742937,0.492827
30,C3A2 EEG,690,1.090047,0.718797,57.44837,12.963486,30,0,18990,6.423684,1.5,1.5,12.5,14.5,13.5,16.24006,9.330435,9.305797,-0.37485,13.432984,0.562316
30,C4A1 EEG,97,0.153239,0.819175,90.16255,13.088346,30,0,18990,9.029658,1.5,1.5,12.5,14.5,13.5,23.93034,10.773196,10.670103,-0.699721,13.523386,0.475864
31,C3A2 EEG,1496,2.382166,0.943041,35.34716,13.130586,30,0,18840,3.745152,1.5,1.5,12.3,14.3,13.3,9.753286,12.38369,12.381684,-0.254554,13.537855,0.433548
31,C4A1 EEG,1467,2.335987,0.957192,34.11247,13.211081,30,0,18840,3.690464,1.5,1.5,12.3,14.3,13.3,9.484498,12.646898,12.644172,-0.220692,13.591676,0.435159
32,C3A2 EEG,1631,2.851399,0.802814,33.99707,13.415025,30,0,17160,3.869102,1.5,1.5,12.7,14.7,13.7,9.743413,10.781729,10.757817,-0.048029,13.768878,0.48959
32,C4A1 EEG,1518,2.653846,0.776574,29.51996,13.360168,30,0,17160,3.354043,1.5,1.5,12.7,14.7,13.7,8.423001,10.374177,10.376153,-0.104301,13.719986,0.487639
33,C3A2 EEG,1291,2.264912,0.80086,41.6341,11.752957,30,0,17100,5.117019,1.5,1.5,11,13,12,11.97588,9.420604,9.404338,-0.579561,12.26406,0.517018
33,C4A1 EEG,1183,2.075439,0.789281,42.33427,11.810821,30,0,17100,5.182547,1.5,1.5,11,13,12,12.18642,9.317836,9.326289,-0.662629,12.334054,0.517366
34,C3A2 EEG,1183,1.981575,0.746348,31.37121,12.847564,30,0,17910,3.776157,1.5,1.5,12.6,14.6,13.6,8.982256,9.595943,9.581572,-0.298907,13.322337,0.467224
34,C4A1 EEG,984,1.648241,0.745762,25.50752,12.821089,30,0,17910,3.151349,1.5,1.5,12.6,14.6,13.6,7.326356,9.567073,9.555894,-0.277552,13.280483,0.44941
35,C3A2 EEG,1257,2.440777,0.778027,30.75472,13.112231,30,0,15450,3.641102,1.5,1.5,12.7,14.7,13.7,8.726962,10.198091,10.205251,-0.329927,13.574086,0.450249
35,C4A1 EEG,1255,2.436893,0.763418,31.62149,13.210137,30,0,15450,3.76398,1.5,1.5,12.7,14.7,13.7,9.022314,10.078088,10.091633,-0.357782,13.685478,0.474075
36,C3A2 EEG,1231,2.107877,0.712494,18.44835,13.467985,30,0,17520,2.052193,1.5,1.5,12.9,14.9,13.9,5.230819,9.602762,9.588952,-0.198837,13.919937,0.501727
36,C4A1 EEG,1079,1.847603,0.693448,17.07455,13.37022,30,0,17520,2.030315,1.5,1.5,12.9,14.9,13.9,4.924605,9.290083,9.253012,-0.24323,13.822897,0.507722
37,C3A2 EEG,1026,1.868852,0.794347,27.86025,12.371166,30,0,16470,3.288277,1.5,1.5,11.8,13.8,12.8,7.948852,9.846004,9.807992,-0.394729,12.850357,0.474668
37,C4A1 EEG,865,1.575592,0.779618,28.59751,12.336699,30,0,16470,3.441178,1.5,1.5,11.8,13.8,12.8,8.155596,9.63237,9.603468,-0.336285,12.801943,0.45768
38,C3A2 EEG,753,1.464981,0.751487,27.88062,13.425345,30,0,15420,3.39098,1.5,1.5,12.9,14.9,13.9,8.0179,10.079681,10.098274,-0.380578,13.914418,0.518545
38,C4A1 EEG,888,1.727626,0.764516,30.22486,13.496295,30,0,15420,3.631968,1.5,1.5,12.9,14.9,13.9,8.707263,10.32545,10.310811,-0.258454,13.944226,0.505212
39,C3A2 EEG,1690,2.691083,0.774053,39.1533,13.121584,30,0,18840,4.249457,1.5,1.5,12.4,14.4,13.4,11.03597,10.159763,10.153846,-0.333136,13.563224,0.506647
39,C4A1 EEG,1732,2.757962,0.771195,41.89062,13.116245,30,0,18840,4.504782,1.5,1.5,12.4,14.4,13.4,11.79733,10.121824,10.108545,-0.339037,13.573438,0.501984
40,C3A2 EEG,1130,2.399151,0.826726,29.51724,12.565297,30,0,14130,3.539093,1.5,1.5,11.8,13.8,12.8,8.532194,10.39292,10.383186,-0.29318,12.987438,0.486006
40,C4A1 EEG,965,2.048832,0.769503,27.89549,12.513972,30,0,14130,3.436278,1.5,1.5,11.8,13.8,12.8,8.111155,9.610363,9.648705,-0.345018,12.958391,0.499209
41,C3A2 EEG,1399,2.654649,0.885482,45.21297,13.391293,30,0,15810,5.036793,1.5,1.5,12.7,14.7,13.7,12.8161,11.854896,11.860615,0.041144,13.675361,0.504878
41,C4A1 EEG,1357,2.574953,0.89084,41.37332,13.385641,30,0,15810,4.734834,1.5,1.5,12.7,14.7,13.7,11.73449,11.928519,11.920413,0.055731,13.674632,0.47281
42,C3A2 EEG,1082,1.921847,0.778771,30.05205,13.129725,30,0,16890,3.264245,1.5,1.5,12.5,14.5,13.5,8.354918,10.222736,10.227357,-0.650216,13.732582,0.523309
42,C4A1 EEG,848,1.506217,0.758031,27.80587,12.971951,30,0,16890,3.248764,1.5,1.5,12.5,14.5,13.5,7.841009,9.832547,9.833726,-0.514593,13.524543,0.465354
43,C3A2 EEG,704,1.928767,0.77321,31.20442,12.63273,30,0,10950,3.840866,1.5,1.5,12,14,13,8.986029,9.75,9.785511,-0.226914,13.008833,0.471377
43,C4A1 EEG,684,1.873973,0.752164,30.55982,12.544705,30,0,10950,3.725879,1.5,1.5,12,14,13,8.767268,9.437135,9.434211,-0.208113,12.954089,0.470023
44,C3A2 EEG,1136,2.188825,0.751285,36.08406,13.465189,30,0,15570,3.502478,1.5,1.5,13,15,14,9.760151,10.129401,10.102993,-0.815397,14.156922,0.513599
44,C4A1 EEG,1106,2.131021,0.746844,33.76776,13.514364,30,0,15570,3.417669,1.5,1.5,13,15,14,9.225847,10.094937,10.09132,-0.710535,14.150039,0.49567
45,C3A2 EEG,1206,2.196721,0.786219,27.10135,13.091396,30,0,16470,3.198842,1.5,1.5,12.5,14.5,13.5,7.772505,10.288557,10.296849,-0.031781,13.448297,0.46975
45,C4A1 EEG,1098,2,0.790883,31.76063,13.113348,30,0,16470,3.704939,1.5,1.5,12.5,14.5,13.5,9.074674,10.367031,10.375228,-0.034998,13.448237,0.46386
46,C3A2 EEG,714,1.562363,0.780392,16.98538,13.775126,30,0,13710,2.079798,1.5,1.5,13.2,15.2,14.2,4.847141,10.745098,10.754902,-0.020856,14.11704,0.423523
